word_id,letter,word_en,approved_word_dv,transliteration,pronounciation,morphemes,meaning_id,meaning_text,word_en_meaning
1,,,,,,,1,ޓެސްޓު މާނައެއް.,
2,ހ,Haa - first letter of the Thaana alphabet.,ހ,,,,1304,ތާނައިގެ ފުރަތަމަ އަކުރު.,Haa - first letter of the Thaana alphabet.
3,ށ,Shaviyani - second letter of the Thaana alphabet.,ށ,,,,266,ތާނައިގެ ދެވަނަ އަކުރު.,Shaviyani - second letter of the Thaana alphabet.
4,ނ,Noonu - third letter of the Thaana alphabet.,ނ,,,,1580,ތާނައިގެ ތިންވަނަ އަކުރު.,Noonu - third letter of the Thaana alphabet.
5,ރ,Raa - fourth letter of the Thaana alphabet.,ރ,,,,50555,ތާނައިގެ ހަތަރުވަނަ އަކުރު.,Raa - fourth letter of the Thaana alphabet.
6,ބ,Baa - fifth letter of the Thaana alphabet.,ބ,,,,50556,ތާނައިގެ ފަސްވަނަ އަކުރު.,Baa - fifth letter of the Thaana alphabet.
7,ޅ,Lhaviyani - sixth letter of the Thaana alphabet.,ޅ,,,,897,ތާނައިގެ ހަވަނަ އަކުރު.,Lhaviyani - sixth letter of the Thaana alphabet.
8,ކ,Kaafu - seventh letter of the Thaana alphabet.,ކ,,,,29068,ތާނައިގެ ހަތްވަނަ އަކުރު.,Kaafu - seventh letter of the Thaana alphabet.
9,އ,Alifu - eighth letter of the Thaana alphabet.,އ,,,,10830,ތާނައިގެ އަށްވަނަ އަކުރު.,Alifu - eighth letter of the Thaana alphabet.
10,ވ,Vaavu - ninth letter of the Thaana alphabet.,ވ,,,,10018,ތާނައިގެ ނުވަވަނަ އަކުރު.,Vaavu - ninth letter of the Thaana alphabet.
11,,,,,,,11353,ތާނައިގެ ދިހަވަނަ އަކުރު.,
12,ފ,Faafu - eleventh letter of the Thaana alphabet.,ފ,,,,5906,ތާނައިގެ އެގާރަވަނަ އަކުރު.,Faafu - eleventh letter of the Thaana alphabet.
13,ދ,Dhaalu - twelfth letter of the Thaana alphabet.,ދ,,,,54097,ތާނައިގެ ބާރަވަނަ އަކުރު.,Dhaalu - twelfth letter of the Thaana alphabet.
